Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,all
2.93724,0.6351954787197943,0.17061538445950875,0.2259469972146251,1.031757860393928
2.939542,0.6429264934729252,0.17278691134521565,0.2329176004135925,1.0486310052317334
2.941843,0.6475376566813871,0.17492782823102826,0.2394568446649524,1.0619223295773677
2.944145,0.6562154969466553,0.17679919880709175,0.24592673702165696,1.078941432775404
2.946447,0.6651402496311927,0.17885541812038114,0.2520833162088907,1.0960789839604643
2.948748,0.6681932085682512,0.18091698675404047,0.2579374030896492,1.1070475984119408
2.95105,0.6770166386265546,0.18289296626178167,0.2648794785589003,1.1247890834472365
2.953351,0.6834206220904662,0.18484338790553345,0.2707925883287272,1.1390565983247267
2.955653,0.6901728405998809,0.18557773071853212,0.2749586205821321,1.1507091919005452
2.957955,0.6947928572417029,0.1881980061463791,0.28262028344060763,1.1656111468286898
2.960256,0.7015534373270691,0.19022747885781915,0.28752508552218425,1.1793060017070722
2.962558,0.7055925703689769,0.19119035652439775,0.29248841863542024,1.1892713455287949
2.96486,0.7116655337966972,0.19352147146780613,0.2996277289256413,1.2048147341901445
2.967161,0.71603863801925,0.19484602262828174,0.30477993528389585,1.2156645959314276
2.969463,0.7193631022460226,0.19688470805813654,0.31078895724845873,1.227036767552618
2.971764,0.7251571825228951,0.19845978572260167,0.3158088539637185,1.2394258222092152
2.974066,0.7306999236638183,0.20006874241607606,0.3208238321048893,1.2515924981847837
2.976368,0.7350400734399748,0.2022105508552836,0.32594997002047205,1.2632005943157305
2.978669,0.7400034065532106,0.2035163793944646,0.3310711893619657,1.274590975309641
2.980971,0.7451659419170522,0.2053446582231041,0.3361550275403828,1.286665627680539
2.983273,0.7490742408881922,0.2069473740428136,0.3414665956991219,1.2974882106301278
2.985574,0.751080035401697,0.2085361221926684,0.34663306592223464,1.3062492235166
2.987876,0.757320722205853,0.21016766490548225,0.3513667016255131,1.3188550887368482
2.990177,0.7625157201586821,0.21178107936593146,0.3565612077209333,1.3308580072455467
2.992479,0.7653522618358233,0.21339449382638068,0.36187572702412574,1.3406224826863298
2.994781,0.769776519228902,0.21501712100524475,0.3665542746976071,1.3513479149317538
2.997082,0.7730463872832863,0.2166566876986134,0.3714290734772407,1.3611321484591403
2.999384,0.7772930841517512,0.21830606147932685,0.3756782296327501,1.3712773752638276
3.001686,0.7819539249585122,0.21994830283288044,0.3811693257457386,1.3830715535371314
3.003987,0.7852301871592123,0.2215878695262491,0.3864085908653688,1.39322664755083
3.006289,0.7880165593806454,0.22277720175515275,0.3912037087447601,1.4019974698805584
3.0085900000000003,0.7920010962501653,0.22438051194379224,0.39610260853743,1.4124842167313876
3.010892,0.7955311568738591,0.2259728263072269,0.4003020870946402,1.4218060702757265
3.013194,0.798097668833513,0.2273639467878611,0.4055285639216391,1.4309901795430133
3.015495,0.8018697233023867,0.2285104844538057,0.409744765630752,1.4401249733869443
3.0177970000000003,0.8046383886570994,0.2297744099834227,0.4139476871898247,1.4483604858303467
3.020098,0.8073121255318939,0.2308962813387728,0.4186955867579613,1.4569039936286283
3.0224,0.8084286418501029,0.2317283978407544,0.4233151115423743,1.4634721512332316
3.024702,0.8084532347205479,0.232468981527518,0.42733260285829067,1.4682548191063565
