Wavelength,H2O_40K,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
3.003987,0.3726237021383853,0.01089249569730621,0.40384042739679205,0.7873566252324835
3.006289,0.3746236914841652,0.010657614389830804,0.4077509512925261,0.793032257166522
3.0085900000000003,0.3773198290455053,0.010417735607728264,0.4121172448742551,0.7998548095274886
3.010892,0.3799974759507249,0.010171859856073159,0.41608923770790296,0.806258573514701
3.013194,0.38233679382368735,0.009920486882328206,0.4202851174048466,0.8125423981108622
3.015495,0.3842648195348365,0.009662117444105259,0.4243990385179052,0.8183259754968469
3.0177970000000003,0.3863902454937576,0.00939475255155347,0.4278183106577918,0.8236033087031028
3.020098,0.3882767921655015,0.009116393214821978,0.4318087941475601,0.8292019795278835
3.0224,0.3896760850610997,0.008831037413612498,0.4348827407907115,0.8333898632654237
3.024702,0.390921455738182,0.00854718085479116,0.4380021644529701,0.8374708010459433
