Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,CH3OH,all
3.003987,0.3881392646457468,0.01076853991634371,0.1838724732293069,0.5827802777913974
3.006289,0.39295585923394816,0.01053633154046366,0.18764017764305427,0.5911323684174661
3.0085900000000003,0.3978767005611084,0.010299182560841485,0.19147803862993984,0.5996539217518897
3.010892,0.4020949880361378,0.010056104856728752,0.19534504917890394,0.6074961420717705
3.013194,0.40734487357252375,0.00980759248849968,0.1992125537882423,0.6163650198492657
3.015495,0.4115799591002764,0.009552163275031623,0.20313292285762144,0.6242650452329295
3.0177970000000003,0.4158017049979255,0.009287840974827741,0.20619906153998646,0.6312886075127397
3.020098,0.4205708697902023,0.00901264934639117,0.21025924969526785,0.6398427688318613
3.0224,0.4252110848248095,0.008730540872715622,0.21348151145588415,0.6474231371534094
3.024702,0.4292465699613803,0.008449914580162712,0.21650071440269905,0.6541971989442421
