Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,all
3.003987,0.7076117510200486,0.026119119932803032,0.3900410753001278,1.1237719462529794
3.006289,0.7132666080693312,0.026259309516254048,0.3948812703115279,1.1344071878971131
3.0085900000000003,0.7196377497894353,0.02644829572382981,0.39982622285163893,1.145912268364904
3.010892,0.726475997452524,0.02663598582581145,0.40406517915560175,1.157177162433937
3.013194,0.7325921268290895,0.026799960698408704,0.4093407881607445,1.1687328756882427
3.015495,0.7403204175735479,0.026935105979006904,0.4135966248247839,1.1808521483773389
3.0177970000000003,0.7466111387343333,0.027084088062569414,0.41783905649699776,1.1915342832939004
3.020098,0.7530735348714879,0.027216325863051064,0.4226315893152401,1.2029214500497791
3.0224,0.7596901051379059,0.027314409529633484,0.4272945405458348,1.214299055213374
3.024702,0.7641257365054996,0.02740170399289183,0.43134979881366897,1.2228772393120604
