Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,all
3.330818,0.12680002732545215,0.1094377743396638,0.03308501623245902,0.269322817897575
3.3331190000000004,0.12271711848228785,0.11024911167801794,0.03600597909887,0.2689722092591757
3.335421,0.11916078903973212,0.1109642468879284,0.039300041464286166,0.26942507739194665
3.3377230000000004,0.11561030641911235,0.11218444327216813,0.042968568743159456,0.2707633184344399
3.340024,0.11300225840929727,0.1128033763536349,0.04659954712460315,0.2724051818875353
3.3423260000000004,0.11072236328063867,0.11363189264349682,0.05047834822908229,0.2748326041532178
3.344627,0.1085499035050536,0.113724168154453,0.05346109609944565,0.27573516775895224
3.3469290000000003,0.10631568667276983,0.11301394121640193,0.05606801364189986,0.2753976415310716
3.349231,0.10456675606117184,0.11169999683964817,0.05803147962385567,0.2742982325246757
3.351532,0.10344708966043296,0.10975681201052297,0.0596252596429363,0.27282916131389223
3.3538339999999995,0.10243741659736456,0.10754023643883076,0.060258470595044786,0.2702361236312401
3.356135,0.101468305861477,0.10498891672632944,0.06069847540219728,0.2671556979900037
3.3584370000000003,0.10067606148915263,0.1031311358275573,0.06066809493064058,0.2644752922473505
3.360739,0.09929255724855296,0.10157864943843807,0.0606383971663099,0.26150960385330096
3.3630400000000003,0.09778225005721686,0.1008811840072214,0.061077036559010374,0.2597404706234486
3.365342,0.09604245510489384,0.10105788179415877,0.062386810372077925,0.2594871472711305
3.3676440000000003,0.09512231150272003,0.10222506884231733,0.06413761305313694,0.2614849933981743
3.3699449999999995,0.09371724710623144,0.10349189380922112,0.0666912794319637,0.26390042034741623
3.372247,0.092503300701775,0.1052819405563339,0.06861105215145596,0.2663962934095649
3.3745480000000003,0.09192409990374266,0.10726390073314816,0.0705731527189598,0.2697611533558506
3.37685,0.09126304359860668,0.1085366156262832,0.07235058098183254,0.2721502402067224
3.3791519999999995,0.09055630899709592,0.1094019439550904,0.07339648845205378,0.2733547414042401
3.381453,0.08965662927169803,0.10980294976600104,0.07433930713115011,0.2737988861688492
3.3837550000000003,0.08898241761720611,0.10920070480885616,0.07477248486604264,0.2729556072921049
3.386057,0.08860895186604581,0.10873098319191432,0.0748059375201163,0.27214587257807643
3.388358,0.08817409448455779,0.1075657594524995,0.07481037511708526,0.2705502290541425
3.39066,0.08768332686830704,0.10578994669377888,0.07435535075096092,0.2678286243130469
3.392961,0.0873208239082767,0.10429685039415806,0.07439289964839055,0.2660105739508253
3.395263,0.08737490701118444,0.10257257448996082,0.07392149030884239,0.26386897180998764
3.397565,0.08727149134819193,0.10139213510778196,0.07395562567014204,0.2626192521261159
3.3998660000000003,0.08708658560446678,0.09964528115303163,0.07392387978413338,0.2606557465416318
3.402168,0.08655379395555121,0.09882020065347126,0.07442362147356023,0.2597976160825827
3.40447,0.08630859286061134,0.09760932998576433,0.07438777934419559,0.25830570219057125
3.406771,0.08592781858203108,0.0963567390072527,0.07438402445445265,0.2566685820437364
3.409073,0.08547761329296112,0.09515912067356602,0.07437344249244976,0.2550101764589769
3.411374,0.0851377667679327,0.09356491397364214,0.07409284982256663,0.25279553056414145
