Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,HNCO_NH3,all
3.001686,0.38456502741670573,0.011040825766258974,0.003469208186072025,0.3990750613690369
3.003987,0.3898509672819667,0.01081602941261992,0.003318847711121399,0.4039858444057081
3.006289,0.39468880315752336,0.010582796992729508,0.0031545925388156,0.4084261926890685
3.0085900000000003,0.39963134550243495,0.01034460218092654,0.003173945867274592,0.41314989355063614
3.010892,0.4038682357173803,0.010100452498828492,0.00329006583802854,0.4172587540542374
3.013194,0.4091412733636686,0.00985084418562663,0.0034002309384874143,0.4223923484877827
3.015495,0.41339503571111663,0.00959428852374718,0.003510892278137545,0.42650021651300135
3.0177970000000003,0.4176353996004009,0.00932880055642512,0.0036220498569789314,0.4305862500138049
3.020098,0.4224255965135969,0.009052395326895418,0.0037436284588366975,0.43522162029932904
3.0224,0.4270862749978749,0.008769042748688134,0.003853793559295572,0.4397091113058586
