Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,CH3OH,all
3.160498,0.4679684762924625,0.221243922067676,0.15958653049226004,0.8487989288523985
3.162799,0.4586898611147944,0.21655492848828534,0.15546649021649794,0.8307112798195777
3.165101,0.4486732628420945,0.21171833828988829,0.15216237184448392,0.8125539729764667
3.167402,0.43969178937265696,0.20640583424076767,0.1481085795561306,0.7942062031695554
3.1697040000000003,0.4301321073660559,0.2019414018539907,0.14462081786607892,0.7766943270861255
3.172006,0.4195465557897273,0.19719005722762706,0.14080620029697355,0.7575428133143279
3.174307,0.41063327877791655,0.19225068522523545,0.13711872040958656,0.7400026844127385
3.176609,0.4017053882394715,0.18719635347998745,0.13401285888224446,0.7229146006017033
3.1789110000000003,0.3924579485852898,0.18267687680955447,0.13054068495393606,0.7056755103487804
3.181212,0.38284078670726057,0.17792455794808193,0.12741144178397912,0.6881767864393216
3.183514,0.373882694880438,0.1729135796651823,0.12389688862843125,0.6706931631740516
3.1858150000000003,0.3644189750320687,0.16805019800128904,0.12089527025774713,0.6533644432911049
3.188117,0.35547500961432593,0.16316246045967198,0.1179813330468688,0.6366188031208667
3.190419,0.34617837108714217,0.15885195722010953,0.11503134913695914,0.6200616774442108
3.19272,0.3374847840924003,0.15450053610597106,0.11220411885077762,0.6041894390491489
3.1950220000000003,0.32812287181291666,0.14931322126835092,0.10940270579498336,0.5868387988762509
3.197323,0.3195841882004983,0.1451600569988844,0.10650435634584823,0.5712486015452309
3.199625,0.3110922678733097,0.13998540721768069,0.10396014135881756,0.555037816449808
3.201927,0.3023241518927329,0.13603731943864872,0.10150360753159264,0.5398650788629743
3.204228,0.29334511401106783,0.13155388946724714,0.09884053586126963,0.5237395393395846
3.20653,0.2851376703356935,0.12720977511642584,0.09647850283961316,0.5088259482917324
3.208832,0.2761469416327209,0.12284227912298964,0.0944788852784872,0.4934681060341978
3.211133,0.2684485358017745,0.11844165913584905,0.09230877657329443,0.479198971510918
3.213435,0.2604827024334205,0.1141399240122672,0.08945962599716148,0.4640822524428492
3.215736,0.2525032297735412,0.10986595458929048,0.08739765738906248,0.4497668417518941
3.218038,0.244540319110514,0.10572789096401272,0.08539998829815441,0.4356681983726812
3.22034,0.2370908303499051,0.1015810592227544,0.08339403820882023,0.4220659277814797
