Wavelength,CO_NH3_10K,H2O_40K,CH3OH,all
2.92343,0.0011170640474592033,0.25674286060147344,0.07732560155323445,0.33518552620216713
2.925732,0.0016826660968056349,0.2605046018176009,0.08047395709860508,0.34266122501301155
2.928034,0.0023862555426736537,0.26490557086708433,0.08427080464882977,0.35156263105858776
2.930335,0.003199552282595937,0.26756243773509186,0.08756153588248415,0.358323525900172
2.932637,0.004095251390052314,0.27209895624122915,0.09137252348394252,0.367566731115224
2.9349380000000003,0.005025081655658905,0.2761951828072286,0.09473883085350096,0.3759590953163885
2.93724,0.005922243527036002,0.27992718115696785,0.09848935754623607,0.38433878223024
2.939542,0.006725788507486796,0.2834899864798768,0.10175717214513244,0.39197294713249603
2.941843,0.007427915189434092,0.2870025702415076,0.10571443613866316,0.4001449215696049
2.944145,0.008048127091820869,0.2900729117111063,0.1090656282810408,0.4071866670839679
2.946447,0.008640058891740325,0.2934465329002683,0.11244266258601784,0.4145292543780264
2.948748,0.009379729847652856,0.2968289306729547,0.11588698403134814,0.4220956445519557
2.95105,0.01046217514898827,0.3000709031092516,0.11870963081037104,0.42924270906861095
2.953351,0.011977598570857848,0.3032709429798211,0.12147961808824782,0.4367281596389268
2.955653,0.013860663324802605,0.3044757728625237,0.12418719410550708,0.44252363029283337
2.957955,0.016020190459764116,0.3087748360255302,0.12651201356351033,0.4513070400488046
2.960256,0.01818946935419711,0.3121045742970705,0.12880952809499344,0.459103571746261
2.962558,0.01998184274505701,0.31368435933145195,0.1313776539518104,0.4650438560283193
2.96486,0.021058436990709528,0.3175089993961704,0.1336366490333811,0.472204085420261
2.967161,0.021341238015382742,0.319682178994392,0.13608385307275156,0.4771072700825263
2.969463,0.020833658934891683,0.3230270324931131,0.1377284873076184,0.4815891787356232
2.971764,0.019613713825008254,0.32561124875305797,0.14015862576791374,0.4853835883459801
2.974066,0.017925196672519725,0.3282510500419905,0.1425960780478127,0.4887723247623229
2.976368,0.016028967043288454,0.33176509656754194,0.14459470115149464,0.492388764762325
2.978669,0.014089829672382629,0.3339075581234283,0.14677470698134626,0.4947720947771572
2.980971,0.012174584112181948,0.3369071993368587,0.14916681357970282,0.4982485970287434
2.983273,0.010346129211277534,0.3395367612783461,0.15190803316713872,0.5017909236567624
2.985574,0.008675165225837691,0.3421434065850754,0.15482429683708787,0.505642868648001
2.987876,0.007235805527845735,0.3448202645599995,0.1577059417609132,0.5097620118487585
2.990177,0.006081684794394868,0.3474673796685355,0.1606085529676023,0.5141576174305327
2.992479,0.005195249858436408,0.35011449477707146,0.16435079066478664,0.5196605353002945
2.994781,0.004544319913714436,0.3527767251127883,0.1672685170986565,0.5245895621251593
2.997082,0.004092325862210866,0.3554667479629989,0.17094883112319692,0.5305079049484067
2.999384,0.0037963599622511373,0.35817286121633746,0.17469545711214346,0.5366646782907321
3.001686,0.003613514472160696,0.3608672723583101,0.17832798751527354,0.5428087743457444
3.003987,0.0035159968774457944,0.3635572952085207,0.18146366577333126,0.5485369578592978
3.006289,0.003484303659163451,0.365508622278766,0.18518201165981046,0.5541749375977398
3.0085900000000003,0.003510633409736475,0.3681391593962005,0.18896959503853725,0.5606193878444742
3.010892,0.0036325304031301024,0.37075165575861263,0.19278594610770491,0.5671701322694477
3.013194,0.0039026541404903812,0.37303405506291504,0.1966027847648462,0.5735394939682515
3.015495,0.004322467385738035,0.3749151694649654,0.20047179533516,0.5797094321858633
3.0177970000000003,0.004775436613188755,0.3769888811165778,0.20349776629916336,0.5852620840289301
3.020098,0.005131863421871722,0.3788295257168216,0.20750476426599868,0.5914661534046919
3.0224,0.00533274966698442,0.3801947720428302,0.21068481302965164,0.5962123347394663
3.024702,0.005398086455443404,0.3814098412729777,0.21366446313616547,0.6004723908645867
3.027003,0.005354691125795273,0.38260589457215616,0.2163452218148781,0.6043058075128296
3.029305,0.005248396947556029,0.384119855230105,0.21994800935162012,0.6093162615292812
3.031607,0.005136739301607467,0.3856752608658077,0.22261219003923133,0.6134241902066464
