Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
3.003987,0.3808919574578635,0.1717795920842843,0.3917900856914778,0.9444616352336256
3.006289,0.3856186169537931,0.1752995030090726,0.3955839220393748,0.9565020420022404
3.0085900000000003,0.390447576701404,0.1788849564661609,0.3998199281954869,0.9691524613630518
3.010892,0.39458710062962704,0.1824976423838527,0.40367339928725504,0.9807581423007348
3.013194,0.39973896069771053,0.18611078986867335,0.4077440766006026,0.9935938271669866
3.015495,0.40389496902667854,0.18977332503628355,0.4117352409221219,1.005403534985084
3.0177970000000003,0.4080378868021137,0.19263781063807167,0.41505248415436624,1.0157281815945516
3.020098,0.41271800210770504,0.1964309693031529,0.4189238941528274,1.0280728655636853
3.0224,0.41727157539581344,0.199441310117665,0.4219061161816982,1.0386190016951766
3.024702,0.4212317102571072,0.20226194684221013,0.42493245822432746,1.048426115323645
