Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,HNCO_NH3,all
3.001686,0.7844468021926141,0.365187633542355,0.0034495373589151354,1.1530839730938842
3.003987,0.7877335091512371,0.3679098617799655,0.0033000294459196713,1.1589434003771222
3.006289,0.7905287643562512,0.36988455045259866,0.003136705620172152,1.1635500204290221
3.0085900000000003,0.7945260039706943,0.37254658078464653,0.0031559492129339447,1.170228533968275
3.010892,0.7980673184643196,0.3751903543748436,0.0032714107695046984,1.1765290836086677
3.013194,0.8006420124907563,0.37750007893171417,0.0033809512206102853,1.1815230426430807
3.015495,0.8044260923084532,0.3794037143387653,0.0034909850971713034,1.1873207917443898
3.0177970000000003,0.8072035841970719,0.3815022528007115,0.0036015123991877517,1.1923073493969711
3.020098,0.8098858449727926,0.3833649338949619,0.003722401635768242,1.1969731805035226
3.0224,0.81100592075662,0.3847465251701676,0.003831942086873829,1.1995843880136614
3.024702,0.8110305920293915,0.3859761414051005,0.0039409891125239856,1.2009477225470158
3.027003,0.8120736934421717,0.3871865140472717,0.004049542712718712,1.203309750202162
3.029305,0.8166447868612806,0.3887186000863837,0.0041585897383688685,1.2095219766860332
3.031607,0.8183653614243671,0.3902926272892072,0.00427947897494936,1.2129374676885236
3.0339080000000003,0.8188459578179563,0.3905447676969322,0.0043885260005995155,1.2137792515154882
3.03621,0.8192550075205082,0.3913983937348271,0.004502013855348547,1.215155415110684
3.038511,0.8181359185875919,0.3913850712475305,0.0046643508301852064,1.2141853406653076
3.040813,0.8196951430267524,0.3922273484999504,0.004845931397783656,1.2167684229244864
3.043115,0.8192446455859442,0.3924336003403204,0.005028005390837539,1.2167062513171023
3.045416,0.8177732508778502,0.39131155085467134,0.0052056385547925455,1.2142904402873138
3.047718,0.8165312990065315,0.3913539854438383,0.005386725696935564,1.2132720101473051
3.05002,0.8150559568947942,0.3910090810504923,0.005556464053603682,1.2116215019988898
3.052321,0.813277158127967,0.38950561368779535,0.005734590643014119,1.2085173624587766
3.054623,0.8110730266185585,0.3888192588792915,0.005915184359701708,1.2058074698575516
3.056924,0.8060415672495329,0.3872615147164972,0.006095778076389297,1.1993988600424197
