Wavelength,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,all
3.003987,0.7948530415026717,0.3911439584655512,0.010851902173868687,1.1968489021420914
3.006289,0.7976735602132133,0.3959978396498532,0.010617896208475116,1.2042892960715417
3.0085900000000003,0.8017069268635396,0.4009567745760659,0.010378911392754023,1.2130426128323597
3.010892,0.8052802477436026,0.4052077169857049,0.0101339519566399,1.220621916685947
3.013194,0.8078782118445041,0.4104982433437306,0.009883515785165504,1.2282599709734003
3.015495,0.8116964921606813,0.4147661138444831,0.009626109223232577,1.236088715228397
3.0177970000000003,0.8144990870100439,0.41902054144935136,0.009359740730710105,1.2428793691901052
3.020098,0.8172055900480852,0.4238266256705091,0.009082418767467085,1.2501146344860614
3.0224,0.8183357890724331,0.4285027618981185,0.008798126413765534,1.255636677384317
3.024702,0.8183606833240706,0.4325694868456391,0.00851532771516224,1.2594454978848721
