Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_CH3OH_10K,all
3.001686,0.8021226945900586,0.013368369873630728,0.010608205339839149,0.8260992698035285
3.003987,0.8096860889586086,0.01310327201894285,0.010392217339526902,0.8331815783170784
3.006289,0.8161566698686251,0.01290063427030553,0.010168123829269165,0.8392254279681998
3.0085900000000003,0.8234468608725418,0.012765224574745541,0.00993926237198467,0.8461513478192719
3.010892,0.8312715387381582,0.012686553448803994,0.009704679378268058,0.8536627715652302
3.013194,0.8382699313840369,0.012649363461995263,0.009464851642822009,0.8603841464888543
3.015495,0.8471130427345696,0.012641734746752445,0.0092183487815385,0.8689731262628605
3.0177970000000003,0.8543112123608696,0.0126546082037247,0.00896326361560682,0.8759290841802011
3.020098,0.8617058214046722,0.01268083191237188,0.008697688966216267,0.8830843422832604
3.0224,0.8692768444884651,0.01271086997864047,0.00842543919098825,0.8904131536580938
