Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,all
3.001686,0.003667130328781154,0.7866679884544084,0.38346723147509293,1.1738023502582826
3.003987,0.003568165807696789,0.7899640018291233,0.3887380818680463,1.1822702495048665
3.006289,0.0035360023383443693,0.7927671718888378,0.3935621074483037,1.1898652816754858
3.0085900000000003,0.003562722759037149,0.7967757298153602,0.3984905405983051,1.1988289931727023
3.010892,0.0036864284103926047,0.8003270716544726,0.4027153360033966,1.2067288360682618
3.013194,0.003960560133796297,0.8029090560095637,0.40797332100860895,1.214842937151969
3.015495,0.00438660239706449,0.8067038505705436,0.4122149403822848,1.2233053933498932
3.0177970000000003,0.0048462925975013655,0.8094892070164631,0.4164431995456144,1.2307786991595788
3.020098,0.00520800792206472,0.8121790626995361,0.4212197221557513,1.238606792777352
3.0224,0.005411874835498514,0.8133023100138438,0.425867096065873,1.2445812809152152
