Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.909621,0.0030967190059591697,0.5290081408116933,0.18755491033069127,0.7196597701483438
2.911922,0.0030688340945049628,0.5379731398442209,0.1923297034723768,0.7333716774111028
2.9142240000000004,0.003191328526964516,0.5506383670377522,0.19720458352838907,0.7510342790931057
2.916525,0.0034582269651690684,0.5606898817272989,0.20250122287014624,0.7666493315626144
2.918827,0.0037868705644507937,0.5711183406663252,0.20760067605233434,0.7825058872831103
2.921129,0.004117505943122106,0.5812569957041664,0.2125392930488134,0.7979137946961019
2.92343,0.004504409089549228,0.5906950423417207,0.21769949550238388,0.8128989469336537
2.925732,0.005036712131416145,0.6003706086714831,0.22322419358424864,0.8286315143871478
2.928034,0.0057945841891537,0.6091852283600968,0.22914326398525145,0.8441230765345019
2.930335,0.006841264258381256,0.6173141779938457,0.23374377643034824,0.8578992186825752
2.932637,0.008235509831091605,0.627177967475924,0.24092015757102736,0.8763336348780429
2.9349380000000003,0.00998080652121653,0.634949392709242,0.2466221240185653,0.8915523232490239
2.93724,0.0120228783403898,0.6430569307145526,0.2524351321670727,0.9075149412220151
2.939542,0.014295498623907669,0.6508836278259317,0.2585887345911993,0.9237678610410388
2.941843,0.016643308579382426,0.6555518607702744,0.2647567774159004,0.9369519467655572
2.944145,0.018870117936939813,0.6643371017128918,0.27061958004914743,0.9538267996989792
2.946447,0.02081758023510773,0.6733723109689023,0.2763325012833281,0.970522392487338
2.948748,0.022443868106704883,0.6764630546366928,0.2826489316725534,0.9815558544159512
2.95105,0.023733545261461958,0.6853956872541395,0.2885296603203067,0.997658892835908
2.953351,0.024703541824190448,0.6918789291672427,0.294331215737324,1.0109136867287571
2.955653,0.025422574183831072,0.6987147160323025,0.2983137786268016,1.0224510688429351
2.957955,0.025960852563866745,0.7033919119838984,0.3049732930158831,1.034326057563648
2.960256,0.026343274206667298,0.7102361639113641,0.3102111748656474,1.0467906129836786
2.962558,0.02656784733284314,0.7143252869981845,0.3138626044316064,1.054755738762634
2.96486,0.026625608935141147,0.7204734120289898,0.3204060976712445,1.0675051186353754
2.967161,0.02648269876393833,0.7249006396671925,0.32588946633077537,1.0772728047619062
2.969463,0.02609878328659559,0.7282662488907459,0.3308061737539689,1.0851712059313103
2.971764,0.02545195292982746,0.7341320391930772,0.3360704466806453,1.09565443880355
2.974066,0.024563619322072013,0.739743379678389,0.3414024401065676,1.1057094391070286
2.976368,0.023463161209325633,0.7441372450118162,0.3456299918609643,1.1132303980821059
2.978669,0.022209336083581104,0.7491620064668948,0.3501085078184489,1.121479850368925
2.980971,0.0208952596313016,0.754388435585169,0.3556103004373335,1.130893995653804
2.983273,0.019611557814713285,0.758345105342582,0.360072384214854,1.1380290473721493
2.985574,0.018418979905198533,0.7603757244302652,0.3650926641663061,1.14388736850177
2.987876,0.01736632449780222,0.7666936486540327,0.3698500292383327,1.1539100023901676
2.990177,0.016485958007605113,0.7719529421322351,0.3745705463916521,1.1630094465314924
2.992479,0.01576393797888011,0.7748245900671711,0.3791566184361743,1.1697451464822255
2.994781,0.015174371279562587,0.7793036039695029,0.38382983082899097,1.1783078060780563
2.997082,0.014692858612130119,0.7826139413149953,0.3885015493872655,1.185808349314391
2.999384,0.01429599656875507,0.7869131971274171,0.3921753864713573,1.1933845801675296
3.001686,0.013961377631304584,0.7916317225013471,0.39723052256212704,1.2028236226947786
