Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,CH3OH,all
2.999384,0.0038904593068847366,0.7896453163080788,0.1790255860219879,0.9725613616369514
3.001686,0.003703081675227689,0.7943802241416313,0.18274815497090796,0.9808314607877671
3.003987,0.0036031469383439297,0.7977085505535451,0.1859615564354052,0.987273253927294
3.006289,0.0035706681488567077,0.8005392019757773,0.18977206795278292,0.9938819380774172
3.0085900000000003,0.0035976505278153227,0.8045870584932541,0.19365353313334813,1.0018382421544176
3.010892,0.003722568948920022,0.8081732165263277,0.19756447906129404,1.0094602645365418
3.013194,0.003999388170088034,0.8107805138116251,0.2014759246629244,1.0162558266446375
3.015495,0.004429607212372617,0.8146125112974326,0.20544083534878751,1.024482953858593
3.0177970000000003,0.004893804065197678,0.8174251744670261,0.20854181023429055,1.0308607887665144
3.020098,0.005259065528507816,0.8201414006155267,0.2126481285728442,1.0380485947168787
3.0224,0.00546493108648836,0.8212756598791574,0.2159070003426236,1.0426475913082691
3.024702,0.005531887360200478,0.8213006435633783,0.21896050622810684,1.0457930371516857
3.027003,0.005487416402287205,0.8223569537322396,0.2217077121450414,1.0495520822795683
3.029305,0.005378487539083908,0.8269859307446953,0.22539980099921186,1.057764219282991
3.031607,0.005264062265352004,0.8287282928822637,0.22813001801087615,1.062122373158492
3.0339080000000003,0.005189111212689185,0.8292149750508876,0.23014070491697736,1.064544791180554
3.03621,0.005147138623198007,0.8296292045352707,0.23306629433924944,1.067842637497718
3.038511,0.005121655265292647,0.8284959446190091,0.23516242544538624,1.068780025329688
3.040813,0.005102667665284734,0.8300749134617723,0.23724356634099056,1.0724211474680476
3.043115,0.0050941732126496145,0.8296187113878979,0.23930871767869344,1.0740216022792408
3.045416,0.005100668970547058,0.8281286844609611,0.2410275951530941,1.0742569485846023
3.047718,0.005121655265292647,0.826871005797279,0.24268001602746705,1.0746726770900388
3.05002,0.0051526350337266135,0.8253769814808668,0.24425648650180834,1.074786103016402
3.052321,0.00519061023374244,0.8235756578485371,0.2459039106393371,1.0746701787216166
3.054623,0.005235580865340133,0.8213436155002383,0.24667140941860435,1.0732506057841829
3.056924,0.005288046602204106,0.8162484429402198,0.2474523993873509,1.0689888889297747
3.059226,0.005349006791703199,0.8146275015079653,0.24831533584034224,1.0682918441400109
3.061528,0.0054139643706776425,0.8120301976963563,0.24916128338806326,1.0666054454550973
3.063829,0.005479421623336505,0.8076310705787333,0.2499397749883877,1.0630502671904576
3.066131,0.005554372675999324,0.8049733062513097,0.2498913066409991,1.0604189855683082
3.068433,0.005663301539202622,0.7995973170806479,0.2499912413778829,1.0552518599977332
3.070734,0.00582969287611408,0.7951717072577507,0.25079121894663736,1.0517926190805025
3.073036,0.0060670378762130075,0.7902749051504465,0.2508177016519116,1.0471596446785711
3.075337,0.0063848303395033605,0.7856089522853438,0.25079721503085034,1.0427909976556975
3.077639,0.006764582339661645,0.7806361997780079,0.2499677567147152,1.0373685388323848
3.079941,0.007087371539796187,0.7736707486172099,0.24999423941998936,1.0307523595769954
3.082242,0.007212789634585304,0.7687009941519806,0.2499252844515396,1.0258390682381051
3.084544,0.007084373497689673,0.7628083423916298,0.24915828534595674,1.0190510012352758
3.086846,0.006788067002829329,0.7572119971261392,0.248310339103498,1.0123104032324666
3.089147,0.006423804886888026,0.7506198022076022,0.24754883640844375,1.004592443502934
3.0914490000000003,0.006100016339384648,0.7442659516365328,0.2466104492291053,0.9969764172050226
3.09375,0.00593412467615761,0.7355991115802887,0.2453447757864725,0.9868780120429188
3.096052,0.006025065286721828,0.7301391772306445,0.24423799857548484,0.9804022410928512
