Wavelength,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,all
3.12137,0.5860950446136606,0.4799764769727618,0.22329769957446235,1.289369221160885
3.123672,0.5778537839525462,0.4775080610690158,0.2206404048829398,1.2760022499045018
3.125973,0.569426527365459,0.4748552634914879,0.21782321280493971,1.2621050036618866
3.128275,0.5611260032965592,0.4717692439324726,0.21491557876771333,1.247810825996745
3.130576,0.5526745854739902,0.4685967798488929,0.21183055856736355,1.2331019238902463
3.132878,0.543951923592711,0.4655132586865413,0.20809345683778524,1.2175586391170374
3.13518,0.5352712019692494,0.4624722102674727,0.20531973686173371,1.2030631490984558
3.137481,0.5264714976578492,0.4594381573590626,0.2016470937660792,1.187556748782991
3.139783,0.5180743286470222,0.4564230922652967,0.1979899407297397,1.1724873616420586
3.142085,0.5092340516949075,0.4523527044207794,0.19438725274066895,1.155974008856356
3.144386,0.5000746640854866,0.4491997278311766,0.1908884980528087,1.140162889969472
3.146688,0.4912904594345842,0.44616267684677,0.18729980108505484,1.1247529373664091
3.148989,0.4830040674090792,0.4426184513396302,0.18309400014136445,1.1087165188900738
3.151291,0.4734175273912358,0.4392890879455695,0.17982709666389649,1.0925337120007017
3.153593,0.4647947015584566,0.4352726654689884,0.17560780437822204,1.0756751714056672
3.155894,0.4559083814972163,0.4322146279526066,0.17168182386086725,1.0598048333106902
3.158196,0.4468793733849232,0.4282661618652784,0.16736959121930278,1.0425151264695045
3.160498,0.43795156893823295,0.4241737881301205,0.16370194491697562,1.025827301985329
3.162799,0.4292681120805658,0.4208224388454192,0.15947565712064282,1.009566208046628
3.165101,0.41989400858601467,0.4165741651584456,0.15608633220665305,0.9925545059511134
3.167402,0.41148863387257134,0.4132682866930238,0.15192800079957314,0.9766849213651684
3.1697040000000003,0.4025421386588103,0.4091114543239421,0.1483502967771396,0.960003889759892
3.172006,0.3926355762389255,0.4048077162310343,0.1444373079224361,0.941880600392396
3.174307,0.3842940236569434,0.4009991603568739,0.14065473537357828,0.9259479193873956
3.176609,0.375938794903934,0.3963316557097298,0.13746877994801454,0.9097392305616784
3.1789110000000003,0.3672845138777919,0.3924896213202757,0.13390706566422875,0.8936812008622963
3.181212,0.3582842257246565,0.3881848838687023,0.1306971256306934,0.8771662352240521
3.183514,0.34990073288485696,0.3840765203948967,0.127091939244959,0.8610691925247126
3.1858150000000003,0.34104404452750925,0.37951944488028855,0.1240129151966021,0.8445764046043999
3.188117,0.3326737719863697,0.3750383206242572,0.1210238334281388,0.8287359260387657
3.190419,0.32397344785110194,0.3711523144535218,0.1179977753890525,0.8131235376936763
3.19272,0.3158374937068985,0.3662654505793039,0.11509763654181725,0.7972005808280197
