Wavelength,CO_NH3_10K,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,all
3.001686,0.00370525171151158,0.387453536783336,0.011123754598491586,0.4022825430933391
3.003987,0.0036052584120510045,0.3927791799126061,0.010897269775213384,0.4072817080998705
3.006289,0.003572760589726319,0.39765335329481183,0.010662285521481034,0.4118883994060192
3.0085900000000003,0.003599758780580674,0.4026330196079484,0.010422301602775658,0.4166550799913047
3.010892,0.003724750404906392,0.4069017335619203,0.010176318086102644,0.4208028020529293
3.013194,0.004001731844412183,0.4122143775622607,0.0099248349379593,0.4261409443446321
3.015495,0.004432202998589956,0.4165000903771408,0.009666352258853716,0.4305986456345845
3.0177970000000003,0.004896671874584322,0.4207723040965939,0.009398870182796679,0.4350678461539749
3.020098,0.005262147384112722,0.4255984806950585,0.00912038884379898,0.4399810169229702
3.0224,0.005468133581001505,0.4302941660377271,0.00883490797383904,0.4445972075925676
