Wavelength,CO_NH3_10K,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
3.001686,0.0036559755454741148,0.010975819715457236,0.3935390543309297,0.40817084959186106
3.003987,0.0035573120575379618,0.010752346915281851,0.3986443965141859,0.41295405548700576
3.006289,0.0035252464239587133,0.010520487718631894,0.4025046054796879,0.4165503396222784
3.0085900000000003,0.0035518855657014742,0.01028369534758513,0.4068147199501787,0.4206503008634653
3.010892,0.003675214925621664,0.010040983167262195,0.4107356069607613,0.4244518050536452
3.013194,0.003948512787204806,0.009792844495102771,0.414877500184321,0.4286188574666286
3.015495,0.004373259102769941,0.00953779937878782,0.41893848934777306,0.4328495478293308
3.0177970000000003,0.004831551004233367,0.009273874548558613,0.4223137672700688,0.4364191928228608
3.020098,0.005192166052640002,0.00899909673465643,0.4262529070259197,0.44044416981321616
3.0224,0.005395412837788475,0.008717412476598714,0.429287302597396,0.4434001279117831
