Wavelength,H2O_40K,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
2.957955,0.3106412362089941,0.12727671980824395,0.3004351605057959,0.7383531165230339
2.960256,0.3139911011987634,0.12958812174583262,0.3055951004424461,0.749174323387042
2.962558,0.3155804352984636,0.13217177072827738,0.3091921951810576,0.7569444012077985
2.96486,0.3194281935324291,0.13444442038380544,0.3156383184539465,0.769510932370181
2.967161,0.3216145089899488,0.13690641663269287,0.3210400922520633,0.7795610178747049
2.969463,0.3249795805714128,0.13856099191611534,0.3258836369744213,0.7894242094619495
2.971764,0.3275794172159841,0.14100581943244428,0.3310695752775171,0.7996548119259455
2.974066,0.33023517487517445,0.14345800497701255,0.33632222636998305,0.8100154062221699
2.976368,0.3337704621765755,0.14546870882721968,0.34048687035345665,0.8197260413572518
2.978669,0.3359258739154899,0.14766189177776273,0.3448987440857725,0.8284865097790252
2.980971,0.3389436465640565,0.15006845754724707,0.3503186676868798,0.8393307717981833
2.983273,0.34158910298371176,0.15282624653135646,0.3547143537570692,0.8491297032721374
2.985574,0.34421150424821706,0.15576013765799435,0.3596599298043461,0.8596315717105576
2.987876,0.3469045425838202,0.15865920078429935,0.3643465032575978,0.8699102466257174
2.990177,0.34956765827124986,0.1615793569248905,0.3689967771048688,0.8801437923010091
2.992479,0.35223077395867963,0.1653442147073593,0.3735146064438313,0.8910895951098703
2.994781,0.35490909623780403,0.16827957743964508,0.3781182794455864,0.9013069531230355
2.997082,0.357615379024238,0.1719821372496874,0.3827204808416936,0.912317997115619
2.999384,0.3603378494727985,0.17575140984909982,0.3863396496650232,0.9224289089869216
3.001686,0.363048547076176,0.17940589720797834,0.3913195631774171,0.9337740074615716
3.003987,0.3657548298626099,0.18256052918179685,0.3963961121273546,0.9447114711717614
3.006289,0.3677179517968693,0.1863013507386838,0.4002345501922169,0.9542538527277701
3.0085900000000003,0.3703643892869565,0.1901118282962366,0.404520356374032,0.9649965739572249
3.010892,0.3729926769740533,0.1939512474315309,0.40841913027045695,0.9753630546760412
3.013194,0.37528887231994734,0.19779115710204107,0.4125376639436307,0.9856176933656192
3.015495,0.3771813571831088,0.20168355404065869,0.41657574984138745,0.9954406610651548
3.0177970000000003,0.3792676034565733,0.2047278155908869,0.4199319917889642,1.0039274108364244
3.020098,0.3811193738968104,0.20875903399562026,0.4238489154883797,1.0137273233808104
3.0224,0.3824928725014896,0.2119583046740908,0.42686619760173017,1.0213173747773108
3.024702,0.3837152862596541,0.21495596537880315,0.4299281184197329,1.02859937005819
3.027003,0.3849185691443962,0.21765292799613392,0.4335320806513679,1.0361035777918979
3.029305,0.3864416809899423,0.22127749270683905,0.4359342316039085,1.0436534053006898
3.031607,0.38800648832884455,0.22395777712682727,0.4391545952966652,1.0511188607523372
3.0339080000000003,0.3882571518241985,0.2259316908358377,0.4422096486216446,1.0563984912816808
3.03621,0.3891057777478039,0.228803774525265,0.44423261585225055,1.0621421681253194
3.038511,0.38909253329697296,0.23086156975620398,0.4465832606071158,1.0665373636602928
3.040813,0.3899298769106113,0.2329046489306643,0.4493562561829199,1.0721907820241956
3.043115,0.3901349206308813,0.23493203097821394,0.4512894554690058,1.0763564070781009
