Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,all
2.960256,0.02598584363107134,0.28713414130151543,0.013636378929491202,0.326756363862078
2.962558,0.02620736970618122,0.2920907258335195,0.013519967222615278,0.331818062762316
2.96486,0.02626434758802767,0.2992203288938741,0.013406993836195605,0.33889167031809736
2.967161,0.026123376449321382,0.3043655298623353,0.0132920556952295,0.34378096200688624
2.969463,0.02574467001049717,0.3103663814357664,0.013170732101987504,0.3492817835482511
2.971764,0.02510661597154432,0.3153794526609803,0.013043023056469613,0.3535290916889942
2.974066,0.02423033544383693,0.3203876119998281,0.012916296388224932,0.35753424383189
2.976368,0.023144808556934852,0.3255067799705491,0.0127993934927124,0.3614509820201964
2.978669,0.02190799556995773,0.3306210360549041,0.01268936723811237,0.3652183988629741
2.980971,0.02061174875795113,0.3356979618028768,0.012573937908509664,0.3688836484693376
2.983273,0.019345464452777576,0.34100230788959884,0.012440825787989091,0.3727885981303655
2.985574,0.018169067668103143,0.3461617533285217,0.012287574933367622,0.3766183959299925
2.987876,0.017130694890315358,0.35088895276723003,0.012115167721918469,0.3801348153794639
2.990177,0.0162622733807937,0.35607639595843954,0.011926551285461271,0.38426522062469454
2.992479,0.015550049857713147,0.3613836891769811,0.011729584642181757,0.38866332367687606
2.994781,0.014968482511970138,0.3660558754883895,0.011532126810265627,0.3925564848106253
2.997082,0.014493503100370897,0.37092404606580426,0.011337616110169148,0.3967551652763443
2.999384,0.0141020257569949,0.3751674246974545,0.011138684712343205,0.4004081351667926
3.001686,0.01377194699319481,0.3806510546365382,0.010928455975875287,0.40535145760560826
3.003987,0.013498846111241164,0.3858831959936788,0.010705947523492193,0.4100879896284122
3.006289,0.01329009094068307,0.3906717940119632,0.010475088864286771,0.41443697381693306
3.0085900000000003,0.013150593367886607,0.3955640328325717,0.010239318318715279,0.4189539445191736
3.010892,0.013069547242846405,0.3997578014119246,0.0099976535095045,0.4228250021642755
3.013194,0.013031234529191036,0.4049771718645135,0.00975058562529104,0.4277589920189955
3.015495,0.01302337551100532,0.409187640857511,0.009496641100165078,0.4317076574686814
3.0177970000000003,0.01303663760419372,0.41338484775732026,0.009233855179580185,0.43565534054109417
3.020098,0.013063652979207115,0.4181262916664903,0.008960263108989931,0.4401502077546874
3.0224,0.013094597863313377,0.42273953534150577,0.008679794397487178,0.4445139276023063
3.024702,0.013116210163324095,0.4267515641253141,0.008400799251894246,0.4482685735405324
3.027003,0.01311719254059731,0.4308691984659928,0.00813113669039685,0.4521175276969869
3.029305,0.013099018561042841,0.4346248267814921,0.007868350769811957,0.4555921961123469
3.031607,0.013069547242846405,0.4385061993879628,0.007603600094680636,0.4591793467254899
3.0339080000000003,0.013037128792830326,0.4430344674288452,0.007332955155910027,0.4634045513775856
3.03621,0.013012569360999959,0.4460739427121711,0.00706722210350549,0.4661537341766766
3.038511,0.01300618390872407,0.4499690686004668,0.006822118973838458,0.4697973714830293
3.040813,0.013023866699641926,0.4536073028318168,0.006600592898728577,0.4732317624301873
3.043115,0.013062179413297296,0.4568319562311437,0.006389872973624056,0.476284008618065
3.045416,0.01311719254059731,0.4600065083895365,0.006175223539426676,0.4792989244695605
3.047718,0.013183011817902685,0.4633181021775428,0.005960574105229296,0.4824616881006748
3.05002,0.013254234170210741,0.4665177049564025,0.005761642707403349,0.4855335818340166
3.052321,0.013324965333882187,0.4698563141194222,0.005591691439137232,0.4887729708924416
