Wavelength,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,HNCO_NH3,all
3.001686,0.3690114182705045,0.3863883461330482,0.0034856565674005204,0.7588854209709532
3.003987,0.37176215025195897,0.3916993479576727,0.003334583195934012,0.7667960814055658
3.006289,0.37375751537608093,0.3965601212198081,0.003169549248886441,0.7734871858447755
3.0085900000000003,0.37644741913536095,0.4015260973907863,0.003188994336302922,0.7811625108624501
3.010892,0.3791188749911945,0.40578307575904055,0.003305664860801809,0.7882076156110369
3.013194,0.3814527840731573,0.4110811141920541,0.003416352281480241,0.7959502505466917
3.015495,0.3833763519514337,0.4153550446877997,0.00352753829414371,0.8022589349333771
3.0177970000000003,0.3854968636638003,0.4196155131999493,0.003639222898792218,0.8087515997625419
3.020098,0.3873790484073187,0.4244284216315209,0.003761377935126523,0.8155688479739661
3.0224,0.38877510596542497,0.4291111975549976,0.0038720653558049546,0.8217583688762276
