Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_NH3_10K,HNCO_NH3,all
2.999384,0.8157827966885091,0.0038105963201304095,0.003569314020384161,0.8231627070290236
3.001686,0.823356515935108,0.003627065159065817,0.0034215102586734767,0.8304050913528472
3.003987,0.8311201287563549,0.003529181873164703,0.003273217080533287,0.8379225277100529
3.006289,0.8377619991211751,0.003497369805246841,0.003111220242366942,0.8443705891687888
3.0085900000000003,0.8452451763283154,0.0035237982924401423,0.0031303074831176593,0.8518992821038732
3.010892,0.8532769893529314,0.003646152399816536,0.0032448309276219642,0.8601679726803699
3.013194,0.8604606437052141,0.003917289101762625,0.003353481374972202,0.8677314141819489
3.015495,0.8695378502232541,0.004338676647566926,0.003462621238751945,0.877339148109573
3.0177970000000003,0.8769265700594997,0.004793344510577605,0.003572250518961193,0.8852921650890384
3.020098,0.8845169294647016,0.0051511079205461795,0.0036921575441900604,0.8933601949294379
