Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH4_10_0.6_a_V3,H2O_40K,all
3.167402,0.6654259283631742,0.3046593869547952,0.0011395096239575644,0.9712248249419271
3.1697040000000003,0.6561296152569132,0.2980355496896753,0.001114862725341772,0.9552800276719302
3.172006,0.6461177446707459,0.29070089452492004,0.0010886318634652373,0.9379072710591312
3.174307,0.6354269104218893,0.2845249467910518,0.0010613629543584032,0.9210132201672996
3.176609,0.6250342663322472,0.2783388734460776,0.0010334593842506608,0.9044065991625756
3.1789110000000003,0.6155930614902485,0.2719313867382541,0.0010085086013420603,0.8885329568298446
3.181212,0.6063288916018132,0.2652677220694509,0.0009822723609824672,0.8725788860322465
3.183514,0.5956652554603478,0.2590607224615245,0.00095460813337083,0.8556805860552431
3.1858150000000003,0.5857053085337449,0.2525033767093334,0.0009277587459425627,0.839136443989021
3.188117,0.5765093811693093,0.24630616519214274,0.0009007748964378316,0.8237163212578898
3.190419,0.5660964621268848,0.2398645889269293,0.0008769777981452898,0.8068380288519594
3.19272,0.5557799727379378,0.23384086288001996,0.0008529548035642887,0.790473790421522
3.1950220000000003,0.5460939849294195,0.2273540588852001,0.0008243170705190543,0.7742723608851387
3.197323,0.5362319511894247,0.22143766431601344,0.0008013885972404679,0.7584710041026785
3.199625,0.5264589294372551,0.2155536717023658,0.0007728207844749946,0.7427854219240959
3.201927,0.5164317290087402,0.20947830503881631,0.0007510244818802322,0.7266610585294369
3.204228,0.5067506863106567,0.2032567920549714,0.0007262727028447982,0.7107337510684728
3.20653,0.4970063461990085,0.1975699113375189,0.0007022900468867365,0.6952785475834141
3.208832,0.4866547465259749,0.1913402978647893,0.0006781783073352696,0.6786732226980994
3.211133,0.4771334308949334,0.18600612593419286,0.0006538836993598121,0.6637934405284861
3.213435,0.4676937095860652,0.18048665532035807,0.0006301350074147973,0.6488104999138381
3.215736,0.457554749661725,0.17495773413615787,0.0006065396022369508,0.6331190234001199
3.218038,0.44829107428433335,0.16944028864454433,0.0005836944954457718,0.6183150574243235
3.22034,0.4389922886228549,0.16427858962311867,0.0005608009823070657,0.6038316792282806
3.222641,0.4289883302133832,0.15897513204621014,0.0005415460129574669,0.5885050082725508
3.224943,0.4197211932586872,0.15367167446930166,0.0005186793922340537,0.5739115471202231
3.227245,0.4104144954205133,0.1484927619089959,0.0004961462374602705,0.5594034035669695
3.229546,0.4013906578992063,0.14356192682078509,0.00047746676579793614,0.5454300514857894
3.231848,0.3918273088294695,0.13864628014923314,0.00045709845045521796,0.5309306874291579
3.234149,0.3833222133927664,0.1337775488091386,0.0004371926846555349,0.5175369548865606
3.236451,0.37404815328346175,0.12894121942458306,0.00041868801369260354,0.5034080607217374
3.238753,0.36521766958015295,0.1245159898509276,0.0003999870280980349,0.4901336464591786
3.241054,0.3567110906103194,0.12004722014951676,0.00038388384982074487,0.477142194609657
3.2433560000000003,0.3481184667189214,0.11551465909813866,0.000364187844860345,0.4639973136619204
3.245658,0.3400435958900403,0.11127270308550033,0.00034974392860661675,0.4516660429041472
