Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,HNCO_NH3,all
3.001686,0.37132446102140665,0.17524327319466468,0.0033497634158718764,0.5499174976319432
3.003987,0.3764284060801775,0.1783247105466132,0.0032045798491419125,0.5579576964759326
3.006289,0.381099675360872,0.1819787365528268,0.0030459799792157804,0.5661243918929144
3.0085900000000003,0.3858720460692233,0.1857008023823923,0.0030646669729533,0.5746375154245689
3.010892,0.3899630602366834,0.1894511382794069,0.0031767889353784213,0.5825909874514688
3.013194,0.3950545472996293,0.1932019533301071,0.0032831610535766125,0.5915396616833131
3.015495,0.3991618526923991,0.1970040378251641,0.003390012325460381,0.5995559028430236
3.0177970000000003,0.4032562209356583,0.1999776655978577,0.003497342751029728,0.6067312292845458
3.020098,0.4078814914625374,0.20391535058593305,0.0036147354039962,0.6154115774524666
3.0224,0.4123817028774806,0.20704039092326912,0.0037211075221943923,0.6231432013229441
