Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,CO_CH3OH_10K,all
3.003987,0.7898676668666154,0.3689066172321076,0.010783838273970548,1.1695581223726934
3.006289,0.7926704950838132,0.37088665580672814,0.010551300010584323,1.1741084509011257
3.0085900000000003,0.7966785641725191,0.3735558982130445,0.01031381412457286,1.1805482765101365
3.010892,0.8002294729306529,0.37620683441564745,0.010070391091411113,1.1865066984377115
3.013194,0.8028111424165028,0.3785228165665218,0.009821525673361595,1.1911554846563859
3.015495,0.8066054742077983,0.3804316093753389,0.00956573358363675,1.1966028171667742
3.0177970000000003,0.8093904909835452,0.38253583327785295,0.009301035773186472,1.2012273600345846
3.020098,0.8120800186426251,0.3844035608188807,0.009025453192960671,1.2055090326544666
3.0224,0.8132031289785544,0.3857888951539475,0.008742943941059532,1.2077349680735614
3.024702,0.8132278670916805,0.38702184271215706,0.008461918975945967,1.2087116287797834
