Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,all
2.96486,0.025622685108215682,0.020695669561794743,0.6933348795976627,0.7396532342676732
2.967161,0.025485158025758688,0.02097359885735244,0.6975953440231858,0.7440541009062969
2.969463,0.02511570373804321,0.020474763690670444,0.7008341786933139,0.7464246461220276
2.971764,0.024493237953682117,0.019275834212247458,0.7064790185237787,0.7502480906897082
2.974066,0.023638365775621915,0.01761640464239182,0.7118789930610884,0.7531337634791021
2.976368,0.022579359321859,0.01575284079683346,0.7161073518610902,0.7544395519797826
2.978669,0.021372762828386148,0.013847108368500843,0.7209428424153532,0.7561627136122402
2.980971,0.02010818453359867,0.011964856173758434,0.7259724042880662,0.7580454449954233
2.983273,0.01887283673368881,0.0101678995214458,0.7297800356372065,0.7588207718923411
2.985574,0.01772518041841181,0.008525720735452364,0.7317341660980414,0.7579850672519056
2.987876,0.0167121760549481,0.007111156458751859,0.7378141090325862,0.7616374415462861
2.990177,0.015864970891937773,0.005976917419812125,0.7428752973423798,0.7647171856541297
2.992479,0.015170147653043557,0.0051057528347709605,0.7456387770794163,0.7659146775672308
2.994781,0.014602788539353382,0.004466036266547664,0.7499490771027635,0.7690179019086645
2.997082,0.014139413317277031,0.0040218285820959815,0.7531347218559833,0.7712959637553563
2.999384,0.01375750013010552,0.0037309611986416423,0.7572720348522679,0.7747604961810151
3.001686,0.013435485498011095,0.0035512655334103797,0.7618128245155519,0.7787995755469733
3.003987,0.013169056725028208,0.003455427845287039,0.7650046987184997,0.7816291832888149
3.006289,0.012965401637766107,0.0034242805966469532,0.7677193012345932,0.7841089834690063
3.0085900000000003,0.012829312120630966,0.0034501567724402552,0.7716012067920291,0.7878806756851003
3.010892,0.012750246027929209,0.0035699538825944314,0.7750403422303352,0.7913605421408589
3.013194,0.012712869329561107,0.0038354242786960845,0.7775407475134732,0.7940890411217304
3.015495,0.01270520231451124,0.004248005526067065,0.7812156436645626,0.7981688515051409
3.0177970000000003,0.012718140402407893,0.004693171587399981,0.7839129953967942,0.801324307386602
3.020098,0.012744495766641807,0.0050434583374907895,0.7865178637599864,0.8043058178641189
3.0224,0.012774684638400662,0.005240883975024872,0.7876056215201865,0.8056211901336121
3.024702,0.012795768929787796,0.0053050952260675095,0.7876295809422172,0.8057304450980726
3.027003,0.01279672730666903,0.0052624474548526225,0.7886425853056809,0.8067017600672026
3.029305,0.012778997334366212,0.005157984374798181,0.7930817870195541,0.8110187687287185
3.031607,0.012750246027929209,0.005048250221896956,0.7947527171119845,0.8125512133618107
3.0339080000000003,0.01271861959084851,0.004976371955804452,0.7952194466531453,0.8129144381997983
3.03621,0.012694660168817672,0.004936120126792649,0.7956166938704163,0.8132474741660266
3.038511,0.012688430719089656,0.004911681516321197,0.7945298944870979,0.8121300067225087
3.040813,0.012705681502951855,0.004893472355577764,0.7960441299594466,0.8136432838179762
3.043115,0.012743058201319959,0.004885326152087278,0.7956066309131634,0.8132350152665706
3.045416,0.01279672730666903,0.004891555601815295,0.7941776909832444,0.8118659738917288
3.047718,0.012860938557711669,0.004911681516321197,0.7929715736782122,0.8107441937522452
3.05002,0.012930420881601087,0.004941391199639432,0.7915388002407683,0.8094106123220088
3.052321,0.012999424017049892,0.004977809521126302,0.7898113259123452,0.8077885594505213
3.054623,0.01307273984846425,0.005020936480781804,0.7876707911481102,0.8057644674773563
3.056924,0.013156118637131555,0.005071251267046559,0.7827845066191417,0.8010118765233198
3.059226,0.01325147713681428,0.005129712256801796,0.7812300193177812,0.7996112087113973
3.061528,0.013349231578700087,0.005192006754081967,0.7787391978034555,0.7972804361362376
3.063829,0.013438839817095413,0.005254780439802756,0.7745204227722662,0.7932140430291643
3.066131,0.013511197271628531,0.00532665870589526,0.7719716194566258,0.7908094754341496
3.068433,0.01356247043477452,0.005431121785949703,0.7668160310240307,0.7858096232447549
3.070734,0.013588346610567823,0.005590691536675064,0.7625718590054887,0.7817508971527316
3.073036,0.013587867422127205,0.005818306045967997,0.7578758122874449,0.7772819857555402
3.075337,0.01356103286945267,0.006123069894200219,0.7534011506289662,0.773085253392619
3.077639,0.0135102388947473,0.006487253109068913,0.7486322672679488,0.768629759271765
3.079941,0.013444110889942195,0.006796808841707303,0.7419523804057521,0.7621933001374015
3.082242,0.013372711812290305,0.006917085140302095,0.7371863721753782,0.7574761691279706
3.084544,0.013305146242163352,0.006793933711063602,0.7315353028951855,0.7516343828484124
3.086846,0.01324860200617058,0.006509774965777898,0.7261683923602784,0.7459267693322269
3.089147,0.013209787742480628,0.006160446592568322,0.7198464592632223,0.7392166935982712
3.0914490000000003,0.013198766408346442,0.0058499324830487,0.7137530990523404,0.7328017979437356
3.09375,0.01322560096102098,0.005690841920763955,0.7054415755498435,0.7243580184316285
3.096052,0.013297479227113485,0.005778054216956194,0.7002054834592248,0.7192810169032945
3.098354,0.013400025553405458,0.00611156937162542,0.6937350019455776,0.7132465968706084
3.100655,0.013511197271628531,0.0066549690632847595,0.6866928486222745,0.7068590149571878
3.102957,0.013607993336633107,0.007354104998144526,0.6796257775000594,0.7005878758348371
3.105259,0.013665975137947728,0.00811218111120015,0.6719573248848703,0.6937354811340182
3.10756,0.013660704065100943,0.008824734322397186,0.6645251121709052,0.6870105505584033
3.109862,0.01359170092965214,0.009406469089305864,0.6567962818121985,0.6797944518311565
3.112163,0.013482925153632148,0.009791257407121074,0.6488695466275172,0.6721437291882701
3.114465,0.013360252912834271,0.0099239926051719,0.6409523952116478,0.6642366407296539
3.116767,0.013235663918273927,0.009820008713558077,0.6327544393695772,0.6558101120014093
3.119068,0.013115866808119755,0.009538725098916071,0.6241994881392473,0.6468540800462831
3.12137,0.013007091032099764,0.009130456547510641,0.6160714938095068,0.6382090413891172
3.123672,0.012915566039941971,0.008617724916050772,0.6074087251800381,0.6289420161360308
