Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,CO_CH3OH_10K,all
2.916525,0.0005760080030527869,0.5201199835617181,0.014374794751405556,0.5350707863161764
2.918827,0.0005284307582136234,0.5297938693740153,0.014560946495776262,0.5448832466280051
2.921129,0.0006887152626717765,0.5391989206572212,0.014690744610337475,0.5545783805302305
2.92343,0.001058247261422562,0.5479540575376242,0.014766960585079826,0.5637792653841266
2.925732,0.0015940686596112009,0.5569295278722823,0.014794213569987696,0.5733178101018812
2.928034,0.00226061200235793,0.5651063471746403,0.014777122715045474,0.5821440818920437
2.930335,0.003031086219753318,0.5726471095241485,0.014719383340240666,0.5903975790841426
2.932637,0.0038796240718848092,0.5817971837282164,0.014624690765560775,0.600301498565662
2.9349380000000003,0.004760495973906995,0.5890062911088457,0.014499973715982387,0.6082667607987352
2.93724,0.0056104195710338,0.5965271911134211,0.014355856236469582,0.6164934669209245
2.939542,0.006371655488460418,0.6037875710588771,0.014202500456988003,0.6243617270043256
2.941843,0.007036813086211833,0.6081180241692379,0.014047297017512672,0.6292021342729623
2.944145,0.007624368964225582,0.6162675904866881,0.013896712728021728,0.6377886721789354
2.946447,0.008185133772329899,0.6246490381333544,0.013753519078505798,0.64658769098419
2.948748,0.008885858824961077,0.6275161445286621,0.013606630109002359,0.6500086334626255
2.95105,0.009911310121494508,0.6358024376856499,0.013444959859548892,0.6591587076666933
2.953351,0.011346941936641307,0.641816570965319,0.013268046415146955,0.6664315593171073
2.955653,0.013130857660610723,0.6481577400638825,0.0130957521207294,0.6743843498452227
2.957955,0.01517667918869476,0.6524965076442151,0.012947015491232209,0.6806202023241421
2.960256,0.01723173901674756,0.6588455292977521,0.012823684186649136,0.6889009525011488
2.962558,0.018929738551007432,0.6626387752649289,0.012714210332019214,0.6942827241479556
2.96486,0.01994964686755959,0.6683420397506489,0.012607969882378363,0.7008996565005868
2.967161,0.020217557566653915,0.6724489260017654,0.012499881772743759,0.7051663653411631
2.969463,0.01973670405327945,0.6755710094762111,0.012385788768129452,0.7076935022976201
2.971764,0.018580992727186368,0.6810123681578163,0.012265690868535448,0.7118590517535381
2.974066,0.016981381087593908,0.6862176882752196,0.01214651679893832,0.7153455861617518
2.976368,0.015184993658666653,0.6902936262214409,0.01203658102930996,0.7175152009094174
2.978669,0.013347957709876812,0.6949548104706835,0.01193311206965974,0.7202358802502201
2.980971,0.011533555596010455,0.6998030702942938,0.011824562045026698,0.7231611879353309
2.983273,0.009801374351866144,0.703473446871886,0.01169938308044987,0.7249742043042019
2.985574,0.00821839165221747,0.7053571362355181,0.011555265600937064,0.7251307934886727
2.987876,0.006854818576827072,0.7112179137357056,0.011393133436485157,0.7294658657490178
2.990177,0.005761465775523184,0.7160966599492128,0.01121575807708478,0.7330738838018207
2.992479,0.004921704308362024,0.7187605237452076,0.011030530162710949,0.7347127582162806
2.994781,0.004305047785446652,0.7229154491561617,0.010844840333338678,0.7380653372749469
2.997082,0.0038768525818941788,0.7259862600657807,0.010661921993957038,0.7405250346416319
2.999384,0.0035964701778420202,0.7299744341622986,0.010474846419589456,0.74404575075973
3.001686,0.003423252053427589,0.7343515406875016,0.010277146800257785,0.7480519395411871
3.003987,0.0033308690537398925,0.7374283564921004,0.01006789930596515,0.7508271248518055
3.006289,0.0033008445788413913,0.7400451049582543,0.009850799256699063,0.7531967487937947
3.0085900000000003,0.003325787988757069,0.7437870783606045,0.009629080057448593,0.7567419464068101
3.010892,0.00344126673836669,0.7471022423043975,0.00940181787821686,0.7599453269209809
3.013194,0.0036971676475016095,0.7495125147662496,0.009169474634002304,0.7623791570477535
3.015495,0.004094876461157143,0.7530549408892742,0.00893066457980961,0.7660804819302409
3.0177970000000003,0.004523995494706492,0.7556550604154844,0.008683540055645022,0.7688625959658358
3.020098,0.004861655358565022,0.758166030346996,0.008426253401514785,0.7714539391070758
3.0224,0.0050519643379216776,0.7592145773934514,0.008162499937406413,0.7724290416687795
