Wavelength,H2O_CH4_10_0.6_a_V3,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
3.003987,0.7783445190115487,0.01062651601849826,0.3939792027377611,1.1829502377678078
3.006289,0.781106457589489,0.010397370187671768,0.3977942370488617,1.1892980648260223
3.0085900000000003,0.7850560541331603,0.010163348913636204,0.4020539117806299,1.1972733148274264
3.010892,0.7885551597243128,0.009923477107749752,0.4059289140432021,1.2044075508752647
3.013194,0.7910991659908079,0.009678242314333316,0.4100223361615408,1.210799744466682
3.015495,0.7948381433878468,0.009426181900424177,0.4140358010112508,1.2183001262995217
3.0177970000000003,0.7975825303702347,0.009165345688738705,0.4173715792548994,1.2241194553138728
3.020098,0.8002328212986874,0.008893783501993265,0.4212646206573452,1.2303912254580258
3.0224,0.8013395469071475,0.008615395694755126,0.4242635057752467,1.2342184483771492
3.024702,0.8013639241231928,0.008338470520479709,0.4273067574263509,1.2370091520700237
