Wavelength,CO_NH3_10K,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,all
3.020098,0.00525809062531718,0.3881475039408725,0.4252703731271973,0.8186759676933869
3.0224,0.005463918020816532,0.3895463309005768,0.4299624384148912,0.8249726873362845
3.024702,0.005530861882459525,0.3907912868947136,0.4340430164887716,0.8303651652659447
3.027003,0.00548639916838321,0.392016759227626,0.4382310044899149,0.8357341628859241
3.029305,0.005377490497949086,0.3935679584097268,0.44205080125202173,0.8409962501596977
3.031607,0.005263086435887553,0.3951616219816755,0.4459984907647304,0.8464231991822935
3.0339080000000003,0.005188149277331964,0.3954169079018216,0.4506041285295568,0.8512091857087103
3.03621,0.005146184468540834,0.3962811831304961,0.4536955361105034,0.8551229037095402
3.038511,0.0051207058346319344,0.3962676944419561,0.4576572138928088,0.8590456141693968
3.040813,0.005101721754464518,0.3971204793063186,0.4613576107822838,0.8635798118430669
3.043115,0.005093228876494885,0.3973293041881602,0.4646373604217336,0.8670598934863887
3.045416,0.005099723430236369,0.3961932568644576,0.4678661527933654,0.8691591330880593
3.047718,0.0051207058346319344,0.3962362208353627,0.4712343282799106,0.8725912549499052
3.05002,0.005151679860168244,0.3958870136764937,0.4744885992854512,0.8755272928221132
3.052321,0.005189648020503076,0.3943647901957011,0.4778842517301336,0.8774386899463378
3.054623,0.005234610315636429,0.3936698729453623,0.4796667569416425,0.8785712402026412
3.056924,0.005287066326625342,0.3920926955482957,0.4831078712625152,0.8804876331374362
3.059226,0.005348015215583887,0.3915391597370984,0.4856197648172985,0.8825069397699807
3.061528,0.0054129607529987325,0.38958080199351225,0.4886981832907621,0.8836919460372731
3.063829,0.005478405871470613,0.3882129490593443,0.4906620364259755,0.8843533913567905
3.066131,0.0055533430300262025,0.38622012022282265,0.4927642735139883,0.8845377367668372
3.068433,0.005662251700460325,0.3837017321142978,0.4947291258113159,0.8840931096260741
3.070734,0.005828612192453735,0.3821590258101668,0.4963317818422914,0.8843194198449119
3.073036,0.006065913194546433,0.3793753601603552,0.4978485099314566,0.8832897832863582
3.075337,0.006383646746822132,0.3766591379532435,0.4994111994778691,0.8824539841779347
3.077639,0.00676332835017045,0.3750979471500021,0.500213027074414,0.8820743025745865
3.079941,0.0070860577130165215,0.3724776445058416,0.5009034480952393,0.8804671503140975
3.082242,0.007211452558332873,0.3687832425890512,0.5014280082051285,0.8774227033525125
3.084544,0.007083060226674299,0.3661314663382973,0.5029537287533203,0.8761682553182919
3.086846,0.006786808659851202,0.3629381442217152,0.5029407396458374,0.8726656925274038
3.089147,0.006422614069271039,0.3598402420870271,0.5029187580793277,0.8691816142356259
3.0914490000000003,0.006098885544310893,0.3568447540690317,0.5016977819759287,0.8646414215892713
3.09375,0.0059330246333745215,0.3536089675626013,0.5015673913200419,0.8611093835160177
3.096052,0.006023948385755302,0.3502088188884057,0.5002195216281555,0.8564522889023165
3.098354,0.006371656801453239,0.34680817063315306,0.5001750589140791,0.8533548863486854
3.100655,0.006938181720133492,0.3427485749636683,0.4987537508068081,0.8484405074906098
3.102957,0.007667070482350856,0.3397031288399691,0.4968563419521805,0.8442265412745005
3.105259,0.008457407714583805,0.3354317108023005,0.4959461052662586,0.839835223783143
3.10756,0.009200284746398212,0.3318152435304078,0.4941576050820653,0.8351731333588713
3.109862,0.00980677614964145,0.3271246769858849,0.4917815975747961,0.8287130507103224
3.112163,0.01020793973844237,0.32352019965936113,0.4903153271723917,0.8240434665701952
3.114465,0.010346323691241692,0.31970739703205275,0.4878553900475402,0.8179091107708347
3.116767,0.010237914601864606,0.3152651222728774,0.4849328408638723,0.8104358777386143
3.119068,0.009944660521383734,0.3115947002468247,0.4831813096778996,0.804720670446108
3.12137,0.009519017460787984,0.3069725763071159,0.4798820763772255,0.7963736701451294
3.123672,0.008984465729758116,0.30248034344223684,0.4774141459554615,0.7888789551274564
3.125973,0.008358490665290427,0.2979816160236163,0.4747618701236507,0.7811019768125573
3.128275,0.007665072158122708,0.2935658190604639,0.4716764575153886,0.7729073487339753
