Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
3.001686,0.013988378005002234,0.011100200521909362,0.3979987399140624,0.42308731844097397
3.003987,0.013710985246218395,0.01087419527059807,0.4031619371454544,0.4277471176622709
3.006289,0.013498949414414202,0.01063970858601461,0.4070658909898493,0.4312045489902781
3.0085900000000003,0.01335725958798505,0.010400232823035758,0.4114248487839039,0.4351823411949247
3.010892,0.01327493979446107,0.010154770165982431,0.415390168292562,0.4388198782530056
3.013194,0.013236024982977006,0.009903819522694177,0.41957899851333386,0.44271884301900505
3.015495,0.013228042457544376,0.009645884169652372,0.4236860078484212,0.4465599344756179
3.0177970000000003,0.01324151296921194,0.009378968475498859,0.4270995352865489,0.4497200167312597
3.020098,0.013268952900386596,0.00910107680887548,0.43108331438527,0.4534533440945321
3.0224,0.01330038409427757,0.008816200432498554,0.434152096506276,0.4562686810330521
