Wavelength,H2O_CH4_10_0.6_a_V3,CO_CH3OH_10K,CH3OH,all
3.003987,0.7707092939300478,0.010522274465237956,0.17966749856073358,0.9608990669560192
3.006289,0.773444139078037,0.010295376456490394,0.18334903944309291,0.9670885549776204
3.0085900000000003,0.7773549917777477,0.010063650830535441,0.1870991324897973,0.9745177750980804
3.010892,0.780819772647495,0.00982613206393161,0.19087770847802527,0.981523613189452
3.013194,0.7833388233063138,0.009583302918399643,0.19465676722797404,0.9875788934526876
3.015495,0.7870411229426647,0.009333715108777329,0.19848748148204196,0.994862319533484
3.0177970000000003,0.7897585886687074,0.0090754375881817,0.20148350072095125,1.0003175269778404
3.020098,0.7923828813826472,0.008806539309729803,0.2054508365419883,1.0066402572343651
3.0224,0.7934787504887261,0.008530882367187553,0.2085994084846513,1.0106090413405648
3.024702,0.7935028885747629,0.008256673709807523,0.2115495653600903,1.0133091276446609
