Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_40K,HNCO_NH3,all
2.948748,0.6653599600233266,0.2950569153791917,0.0033772304587318825,0.9637941058612502
2.95105,0.6754145877309031,0.2982795338235241,0.0038599689112142244,0.9775540904656416
2.953351,0.6830797570341243,0.3014604700319996,0.004365971867430653,0.9889061989335546
2.955653,0.6923690795042814,0.30265810729714404,0.004787156320449885,0.9998143431218752
2.957955,0.6981779352803867,0.3069315058267995,0.0050624529479699355,1.0101718940551565
2.960256,0.7035428267768998,0.3102413661601347,0.005353259244646046,1.0191374521816807
2.962558,0.7108401261148256,0.3118117201621857,0.005299944756922091,1.0279517910339335
2.96486,0.7150854133691357,0.3156135278140647,0.005212218190758132,1.0359111593739585
2.967161,0.7204241322989479,0.3177737339212071,0.00511092066408262,1.0433087868842377
2.969463,0.7240882916370669,0.3210986192465373,0.005011561846051615,1.0501984727296558
2.971764,0.7310783056548382,0.32366740820050954,0.004923350602726529,1.0596690644580744
2.974066,0.7363792197660827,0.32629145035085033,0.0048235071075343975,1.0674941772244677
2.976368,0.7421173126766635,0.32978451865109154,0.0047241482895033935,1.0766259796172584
2.978669,0.7471516543492881,0.3319141900970829,0.004633998337533801,1.0836998427839049
2.980971,0.754033100682967,0.33489592399233525,0.004536578228147304,1.0934656029034495
2.983273,0.7617743643004851,0.3375097879222924,0.0044372194101163,1.1037213716328935
2.985574,0.7651559568536671,0.3401008720256765,0.004351431552596848,1.1096082604319404
2.987876,0.7735462031899341,0.34276174964026296,0.00425110338024359,1.1205590562104404
2.990177,0.7819325721089118,0.3453930619480205,0.004125087318350609,1.131450721375283
2.992479,0.7868239340190039,0.3480243742557782,0.00397580675272354,1.1388241150275056
2.994781,0.7942986251979023,0.3506707115555308,0.003828464895740978,1.148797801649174
2.997082,0.8023699539621476,0.35334467545346765,0.0036816077159195428,1.159396237131535
2.999384,0.8078831566699655,0.3560346336977217,0.0035347505360981087,1.1674525409037853
3.001686,0.8153835357384035,0.3587129596901086,0.0033883780334377995,1.17748487346195
3.003987,0.8230719695453587,0.3613869235880454,0.003241520853616364,1.1877004139870204
3.006289,0.8296495232990112,0.3633266015868751,0.003081092713283377,1.1960572175991695
3.0085900000000003,0.8370602370926408,0.3659414348711545,0.0030999951225673247,1.206101667086363
3.010892,0.8450142739838935,0.3685383351004721,0.003213409578271007,1.2167660186626366
3.013194,0.8521283653549133,0.3708071088917069,0.0033210079080411674,1.2262564821546615
3.015495,0.8611176726623331,0.37267699337933424,0.003429090914972455,1.2372237569566398
3.0177970000000003,0.8684348437638649,0.3747383253456068,0.003537658599064869,1.2467108277085368
3.020098,0.8759517018557813,0.3765679816288606,0.003656404503540947,1.256176087988183
3.0224,0.8836478904973146,0.3779250776800158,0.003764002833311107,1.2653369710106417
3.024702,0.8888072788775099,0.3791328931655439,0.0038711164859201405,1.271811288528974
3.027003,0.8925126357743247,0.3803218062417881,0.003977745461368047,1.276812187477481
3.029305,0.9004860597520224,0.38182672882708696,0.004084859113977081,1.2863976476930865
3.031607,0.9073965867153688,0.3833728489710816,0.004203605018453159,1.2949730407049036
3.0339080000000003,0.9110888573288332,0.3836205190004174,0.004310718671062192,1.2990200950003128
3.03621,0.9159758571444754,0.3844590104891669,0.004422194418121368,1.3048570620517637
3.038511,0.9209399206287364,0.3844459242058164,0.004581653204132101,1.3099674980386848
3.040813,0.9262272637794692,0.3852732681198599,0.004760014399426782,1.3162605462987558
3.043115,0.9293170806816528,0.3854758631732109,0.004938860271882589,1.3197318041267465
3.045416,0.9349034696408012,0.3843737073088085,0.005113344049888254,1.3243905209994982
3.047718,0.937386470737254,0.3844153895446654,0.005291220568021808,1.3270930808499408
3.05002,0.9406459246458321,0.3840766002090377,0.005457949511449444,1.3301804743663193
3.052321,0.9433286127326691,0.3825997888990842,0.005632917966616236,1.331561319598369
3.054623,0.9470567494560568,0.3819256029679568,0.005810309807588663,1.3347926622316022
3.056924,0.9466588295067716,0.3803954771702794,0.005987701648561089,1.333042008325612
3.059226,0.9495712545679829,0.3798584548757508,0.006156369300633232,1.335586078744367
3.061528,0.9513965487567866,0.3779585204041335,0.006318251472449601,1.3356733206333695
3.063829,0.9505517564649426,0.37663147433696825,0.006471409455365684,1.3336546402572766
3.066131,0.9528185915475328,0.3746980971412332,0.006620690020992754,1.334137378709759
3.068433,0.9513975181111088,0.3722548395719928,0.006762215752041794,1.3304145734351431
