Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_CH3OH_10K,HNCO_NH3,all
3.001686,0.8396310377041251,0.01110425938293602,0.00348914006679427,0.8542244371538552
3.003987,0.8475481066326842,0.010878171491324263,0.0033379157154513053,0.8617641938394598
3.006289,0.8543212606659362,0.010643599065148706,0.0031727168365915,0.8681375765676763
3.0085900000000003,0.8619523508706688,0.010404035736288566,0.003192181357061386,0.8755485679640187
3.010892,0.8701429212663433,0.010158483324206921,0.0033089684798807053,0.8836103730704309
3.013194,0.8774685682267791,0.009907440919172231,0.0034197665194785213,0.8907957756654298
3.015495,0.8867251954358812,0.00964941125037912,0.0035310636493447955,0.8999056703356051
3.0177970000000003,0.8942599612188008,0.009382397956753752,0.0036428598694795283,0.9072852190450345
3.020098,0.902000352192326,0.009104404677222296,0.0037651369852518923,0.9148698938548
3.0224,0.9099254065651804,0.00881942413393242,0.003875935024849707,0.9226207657239628
