Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH3OH_CO_NH3_120K_NASA,H2O_CH3OH_CO_NH3_100K_NASA,all
3.031607,0.1819746324,0.31978125900000004,0.7192486704000001,1.2210045618
3.0339080000000003,0.182715102,0.32308350480000003,0.7242522456,1.2300508524
3.03621,0.1836951696,0.32530004640000004,0.7275654671999999,1.2365606832
3.038511,0.184690692,0.3281405724,0.73141536,1.2442466244
3.040813,0.1857510468,0.33079375980000003,0.7359569802000001,1.2525017868000001
3.043115,0.1863706968,0.3331453428,0.7391231796000001,1.2586392192
3.045416,0.187491024,0.3354603894000001,0.7423311558000001,1.2652825692
3.047718,0.18798897960000002,0.33787537380000005,0.7437941471999999,1.2696585006
3.05002,0.18864264960000002,0.34020868860000003,0.7474423866,1.2762937248000001
3.052321,0.1891806516,0.3426433740000001,0.7489784874000001,1.280802513
3.054623,0.189928314,0.34392143159999994,0.7517365596000001,1.2855863052
3.056924,0.1898485128,0.34638871320000003,0.7518980430000001,1.288135269
3.059226,0.1904325876,0.34818974280000003,0.7535763456000001,1.2921986760000002
3.061528,0.1907986428,0.35039697119999996,0.755730261,1.296925875
3.063829,0.1906292232,0.3518050554,0.7568003898000001,1.2992346684
3.066131,0.1910838276,0.353312361,0.7573708038,1.3017669924000002
3.068433,0.1907988372,0.35472116159999995,0.757674489,1.3031944878
3.070734,0.1905758604,0.3558702672,0.7576969841999999,1.3041431117999998
3.073036,0.1903665888,0.35695776240000004,0.7576985909999999,1.3050229422
3.075337,0.19004650920000002,0.358078212,0.7576985909999999,1.3058233121999998
3.077639,0.1896271884,0.35865312299999996,0.7572784128,1.3055587242
3.079941,0.1886339988,0.35914815539999995,0.7555486925999999,1.3033308467999998
3.082242,0.188324514,0.3595242654,0.7556081442,1.3034569236
3.084544,0.1873737036,0.3606182082,0.7546545084,1.3026464201999999
3.086846,0.18656315280000002,0.360608895,0.7532638229999999,1.3004358708
3.089147,0.1859746068,0.3605931342,0.7515059838,1.2980737248
3.0914490000000003,0.1848315348,0.35971769340000004,0.7488989508,1.293448179
3.09375,0.1830376116,0.3596242032,0.747394986,1.2900568008
3.096052,0.1827302652,0.3586577796000001,0.744422406,1.2858104508
3.098354,0.1813096872,0.3586258998,0.7426493021999999,1.2825848891999998
3.100655,0.1802388348,0.3576068208,0.7394646246000001,1.2773102802
3.102957,0.17879988600000002,0.35624637719999996,0.7373830151999999,1.2724292784000002
3.105259,0.17752024800000002,0.3555937368,0.7336640766,1.2667780614
3.10756,0.17595620280000002,0.35431138079999996,0.7302271314,1.260494715
3.109862,0.1745951112,0.35260778159999995,0.7273726512,1.2545755440000002
3.112163,0.1731500388,0.3515564646,0.7246169892000001,1.2493234926
3.114465,0.17148927960000002,0.3497926878000001,0.7213792872,1.2426612546
3.116767,0.17005985640000001,0.3476972178000001,0.7166737734,1.2344308476
3.119068,0.1683911268,0.3464413686,0.7122325782,1.2270650736
3.12137,0.16698104639999994,0.34407581579999996,0.7091852820000001,1.2202421442
3.123672,0.1653320484,0.34230630780000004,0.7055956908000001,1.2132340470000005
3.125973,0.16366079159999994,0.34040462400000004,0.7000249152000001,1.2040903308000002
3.128275,0.1619843832,0.33819238079999997,0.696981636,1.1971584
3.130576,0.1602200088,0.33591816900000004,0.692229525,1.1883677028
3.132878,0.1585622628,0.3337077168,0.6876557687999999,1.1799257484
3.13518,0.1567814616,0.3315277116,0.6830940636,1.1714032368
3.137481,0.15517299599999998,0.32935272120000003,0.6785468196000001,1.1630725368
3.139783,0.15328197,0.32719134240000003,0.6741482045999999,1.154621517
3.142085,0.15182814960000002,0.3242734452,0.6689196774000001,1.1450212722000002
3.144386,0.14963259599999998,0.32201320320000004,0.663102258,1.1347480572
3.146688,0.1481485464,0.3198360636,0.6587381891999999,1.1267227992
3.148989,0.1461482676,0.317295351,0.6545805942,1.1180242128
3.151291,0.14425938,0.31490866440000004,0.6481156344,1.1072836788
3.153593,0.142272612,0.31202945280000005,0.6439725006,1.0982745654
3.155894,0.1405742364,0.3098372688,0.6378899592,1.0883014644
3.158196,0.1386218772,0.30700677239999996,0.6333386982,1.0789673478
3.160498,0.1365930216,0.3040731144,0.6276112596,1.0682773956
3.162799,0.13481153999999998,0.3016706670000001,0.6224349534,1.0589171604
3.165101,0.1328814396,0.2986252506,0.6174337884000001,1.0489404786
3.167402,0.1307946528,0.2962553994,0.6106048883999999,1.0376549406
3.1697040000000003,0.12896739,0.2932755336,0.6055555194,1.027798443
3.172006,0.1269994788,0.290190357,0.5999060106,1.0170958464000002
3.174307,0.12489811199999999,0.2874601566,0.593415342,1.0057736106
3.176609,0.1228553568,0.2841142104,0.5883466914,0.9953162586
3.1789110000000003,0.1209996144,0.28136001060000004,0.5826112188,0.9849708438
3.181212,0.11917866960000001,0.27827411760000004,0.5768588748000001,0.974311662
3.183514,0.1170826488,0.27532899720000004,0.5704131966,0.9628248426
3.1858150000000003,0.1151249436,0.2720622132,0.5640936522,0.951280809
3.188117,0.1133174124,0.2688498756,0.5586707022,0.9408379901999999
3.190419,0.111270672,0.2660641542,0.5510496497999999,0.928384476
